Persona:int,ComunaOrigen:int,ComunaDestino:int
10151203,103,103
10151203,103,103
10151204,103,103
10151204,103,103
10152002,103,103
10152002,103,103
10153001,103,103
10153001,103,103
10153001,103,103
10153001,103,103
10153001,103,103
10153002,103,103
10153002,103,103
10153002,103,103
10153003,103,103
10153003,103,103
10153004,103,999
10153004,999,103
10153005,103,103
10153005,103,103
10154101,103,0
10154101,0,103
10154102,103,0
10154102,0,103
10154102,103,0
10154102,0,103
10154103,103,103
10154103,103,103
10154104,103,103
10154104,103,103
10154201,103,103
10154201,103,103
10154202,103,103
10154202,103,103
10155101,103,103
10155101,103,103
10155102,103,103
10155102,103,103
10155103,103,103
10155103,103,103
10155104,103,103
10155104,103,103
10156201,103,103
10156201,103,103
10156201,103,103
10156201,103,103
10156202,103,100
10156202,100,103
10156203,103,72
10156203,72,70
10156203,70,70
10156204,103,103
10156204,103,103
10158101,103,103
10158101,103,103
10158101,103,103
10158101,103,103
10158101,103,103
10158101,103,103
10159001,103,103
10159001,103,103
10159002,103,103
10159002,103,103
10159002,103,103
10159004,103,70
10159004,70,103
10160201,103,70
10160201,70,103
10160203,103,999
10160203,999,103
10160203,103,103
10160203,103,103
10161001,103,339
10161001,339,999
10161002,103,103
10161002,103,103
10161002,103,103
10161002,103,103
10161003,103,999
10161003,999,103
10161004,103,999
10161004,999,103
10161004,103,103
10161004,103,103
10161005,103,103
10161005,103,103
10162101,103,103
10162101,103,103
10162102,103,103
10162102,103,103
10162102,103,103
10162102,103,103
10162102,103,103
10162102,103,103
10162103,103,103
10162103,103,103
10162104,103,999
10162104,999,103
10162105,103,103
10162105,103,103
10162105,103,103
10162105,103,103
10163101,103,103
10163101,103,103
10164001,103,103
10164001,103,103
10164001,103,103
10164001,103,103
10164002,103,103
10164002,103,103
10164002,103,103
10164002,103,103
10164003,103,103
10164003,103,103
10165001,103,98
10165001,98,103
10165001,103,0
10165001,0,103
10165002,103,70
10165002,70,103
10166001,99,98
10166001,98,99
10166002,99,0
10166002,0,99
10166003,99,99
10166003,99,99
10166004,99,99
10166004,99,99
10167101,99,70
10167101,70,99
10167102,99,99
10167102,99,99
10168001,99,99
10168001,99,99
10168002,99,99
10168002,99,99
10168003,99,99
10168003,99,99
10169002,99,330
10169002,330,99
10170101,99,99
10170101,99,99
10170102,99,999
10170102,999,99
10170103,99,98
10170103,98,99
10170104,99,99
10170104,99,99
10171101,99,99
10171101,99,99
10171101,99,99
10171101,99,99
10171102,99,333
10171102,333,99
10171104,99,99
10171104,99,99
10172101,99,98
10172101,98,99
10172102,99,98
10172102,98,99
10172102,99,98
10172102,98,99
10172103,99,70
10172103,70,99
10173001,99,98
10173001,98,99
10173002,99,70
10173002,70,70
10173002,70,70
10173002,70,99
10173003,99,322
10173003,322,99
10173004,99,70
10173004,70,70
10174101,99,99
10174101,99,99
10174102,99,336
10174102,336,99
10174103,99,70
10174103,70,99
10174104,99,99
10174104,99,99
10175101,99,71
10175101,71,99
10175102,99,88
10175102,88,99
10176101,99,94
10176101,94,99
10176102,99,99
10176102,99,99
10176102,99,99
10176102,99,99
10176103,99,94
10176103,94,99
10176105,99,99
10176105,99,99
10177002,99,99
10177002,99,99
10177003,99,99
10177003,99,99
10178101,99,98
10178101,98,99
10178102,99,99
10178102,99,99
10179002,99,99
10180001,99,999
10180001,999,0
10180002,99,99
10180002,99,99
10181001,99,98
10181001,98,99
10181002,99,99
10181002,99,99
10181003,99,99
10181003,99,99
10182103,99,76
10182103,76,99
10183201,99,99
10183201,99,99
10183201,99,99
10183201,99,99
10183201,99,99
10183201,99,99
10183202,99,99
10183202,99,99
10183202,99,99
10183204,99,99
10183204,99,99
10183205,99,70
10183205,70,99
10184101,99,99
10184101,99,99
10184102,99,82
10184102,82,99
10184103,99,99
10184103,99,99
10184104,99,72
10184104,72,99
10187101,99,98
10187101,98,99
10187103,99,99
10187103,99,99
10187104,99,87
10188002,99,70
10188002,70,99
10189001,99,98
10189001,98,99
10190301,99,323
10190301,323,99
10191102,99,0
10191102,0,99
10193001,99,99
10193001,99,99
10193001,99,99
10193001,99,99
10193002,99,98
10193002,98,99
10195001,99,99
10195001,99,99
10196101,99,94
10196101,94,99
10197101,99,0
10197101,0,99
10197102,99,339
10197102,339,339
10197102,339,99
10197103,99,0
10197103,0,339
10197103,339,99
10197105,99,339
10197105,339,99
10197105,99,99
10198001,99,94
10198001,94,94
10198001,94,99
10198002,99,94
10198002,94,94
10198002,94,99
10199001,99,99
10199001,99,98
10199002,99,99
10199002,99,99
10200001,99,99
10200001,99,99
10200001,99,99
10200001,99,99
10200002,99,99
10200002,99,99
10200002,99,99
10200002,99,99
10200002,99,99
10200002,99,99
10200003,99,99
10200003,99,99
10201102,99,327
10201102,327,99
10202001,99,99
10202001,99,99
10203101,99,98
10203101,98,99
10204101,99,99
10204101,99,99
10205103,99,85
10205103,85,99
10206101,99,94
10206101,94,99
10206102,99,94
10206102,94,99
10206103,99,99
10206103,99,99
10207101,99,98
10207101,98,99
10207102,99,98
10208101,99,99
10208101,99,99
10208102,99,99
10208102,99,99
10208103,99,91
10208103,91,99
10208104,99,98
10208104,98,99
10208105,99,98
10208105,98,99
10209201,99,99
10209201,99,99
10209202,99,99
10209202,99,99
10209203,99,99
10209203,99,99
10209204,99,70
10209204,70,99
10209205,99,91
10210001,99,99
10210001,99,99
10210001,99,99
10210001,99,99
10210002,99,70
10210002,70,99
10210003,99,0
10210003,0,99
10210003,99,99
10210003,99,99
10210004,99,99
10210004,99,99
10210005,99,99
10210005,99,99
10211001,99,323
10211001,323,99
10211002,99,98
10211002,98,99
10211003,99,0
10211004,99,99
10211004,99,99
10212001,99,99
10212001,99,99
10212002,99,98
10212002,98,99
10212003,99,103
10212003,103,99
10213203,99,99
10213203,99,99
10213204,99,99
10213204,99,99
10213206,99,0
10213206,0,99
10214001,99,0
10214001,0,99
10214003,99,70
10214003,70,99
10215001,99,99
10215001,99,99
10215002,99,333
10215002,333,99
10216001,99,86
10216001,86,99
10216002,99,333
10216002,333,99
10216003,99,99
10216003,99,99
10216102,99,99
10216102,99,99
10216102,99,99
10216201,99,98
10216201,98,99
10216202,99,98
10216202,98,99
10216203,99,98
10216203,98,99
10220101,99,99
10220101,99,99
10220102,99,99
10220102,99,99
10221001,99,99
10221001,99,99
10221001,99,99
10221001,99,99
10221003,99,99
10221003,99,99
10221004,99,99
10221004,99,99
10222102,99,328
10222102,328,99
10222104,99,85
10222104,85,99
10222105,99,323
10222105,323,99
10223003,99,98
10223003,98,99
10224103,99,94
10224103,94,95
10224104,99,94
10224104,94,99
10225001,99,98
10225001,98,99
10226102,99,70
10226102,70,99
10226103,99,0
10226103,0,99
10230101,99,70
10230101,70,99
10231101,99,98
10231101,98,99
10231102,99,98
10231102,98,70
10231102,70,99
10231103,99,99
10231103,99,99
10232002,99,98
10232002,98,99
10232003,99,72
10232003,72,99
10233101,99,99
10233101,99,99
10233102,99,99
10233102,99,99
10233103,99,99
10233103,99,99
10234001,99,98
10234001,98,99
10235002,99,91
10235002,91,99
10235003,99,99
10235003,99,99
10235004,99,99
10235004,99,99
10236101,99,99
10236101,99,99
10236102,99,99
10236102,99,99
10236103,99,91
10236103,91,99
10236104,99,70
10236104,70,99
10236105,99,70
10236105,70,99
10237101,99,99
10237101,99,99
10237101,99,99
10237101,99,99
10238001,99,99
10238001,99,99
10238003,99,99
10238003,99,99
10239101,99,99
10239101,99,99
10239101,99,99
10239101,99,99
10239102,99,99
10239102,99,99
10239103,99,336
10239103,336,99
10240201,99,99
10240201,99,99
10240202,99,99
10240202,99,99
10241002,99,99
10241002,99,99
10241003,99,99
10241003,99,99
10242002,99,99
10242002,99,99
10242004,99,99
10242004,99,99
